Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
KYCG.EPIC.CGI.20210713,"CpG island (Island, S_Shore, N_Shelf, N_Shore, S_Shelf) using CGIposition column in EPIC.hg38.manifest.CpGIsland.tsv.gz .",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,UCSC Genome Browser,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.CGI.20210713.rda,NA,NA
KYCG.EPIC.chromosome.hg19.20210630,CpG position by hg19 chromosomes for EPIC array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.chromosome.hg19.20210630.rda,NA,NA
KYCG.EPIC.chromosome.hg38.20210630,CpG position by hg38 chromosomes for EPIC array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.chromosome.hg38.20210630.rda,NA,NA
KYCG.EPIC.gene.20210923,"Gene database set using genesUniq column from EPIC.hg38.manifest.gencode.v36.tsv.gz, special attribute attr(,""probeID2gene"")",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,GENCODE v36,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.gene.20210923.rda,NA,NA
KYCG.EPIC.histoneMod.20210819,"Histone modification from 82 histone modifications, 347 samples, from ENCODE/Cistrome",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,ENCODE / Cistrome,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.histoneMod.20210819.rda,NA,NA
KYCG.EPIC.mask.hg19.20181001,EPIC probe masking by copy number and SNP effects based on hg19,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.mask.hg19.20181001.rda,NA,NA
KYCG.EPIC.mask.hg38.20181001,EPIC probe masking by copy number and SNP effects based on hg38,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.mask.hg38.20181001.rda,NA,NA
KYCG.EPIC.probeType.20210630,"Probe type, cg, ch or rs",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,Infinium Manifest,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.probeType.20210630.rda,NA,NA
KYCG.EPIC.seqContext.20210713,"Sequence context groups, e.g., PMDsoloWCGW",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,PMID: 29610480,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.seqContext.20210713.rda,NA,NA
KYCG.EPIC.TFBS.20210817,"TFBS from 1349 TFs, 2842 samples, from ENCODE/Cistrome",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,ENCODE / Cistrome,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.TFBS.20210817.rda,NA,NA
